enduse,tech,service_share_ey,tech_assum_max_share
rs_space_heating,hybrid_gas_electricity,0.3,0.9
rs_space_heating,boiler_gas,0.1,0.9
rs_space_heating,boiler_biomass,0,0.9
rs_space_heating,boiler_hydrogen,0.1,0.9
rs_space_heating,storage_heater_electricity,0.15,0.9
rs_space_heating,secondary_heater_electricity,0.25,0.9
rs_space_heating,boiler_oil,0,0.9
rs_space_heating,boiler_heat_sold,0,0.9
rs_space_heating,boiler_solid_fuel,0,0.9
rs_space_heating,heat_pumps_electricity,0.1,0.9
rs_space_heating,stirling_micro_CHP,0,0.9
