service, fueltype, service_p
is_motors, 0, nan
is_motors, 1, nan
is_motors, 2, nan
is_motors, 3, nan
is_motors, 4, nan
is_motors, 5, nan
is_motors, 6, nan
is_motors, 7, nan
is_lighting, 0, nan
is_lighting, 1, nan
is_lighting, 2, nan
is_lighting, 3, nan
is_lighting, 4, nan
is_lighting, 5, nan
is_lighting, 6, nan
is_lighting, 7, nan
is_high_temp_process, 0, 1.0
is_high_temp_process, 1, 0.0
is_high_temp_process, 2, 0.0
is_high_temp_process, 3, 0.0
is_high_temp_process, 4, 0.0
is_high_temp_process, 5, 0.0
is_high_temp_process, 6, 0.0
is_high_temp_process, 7, 0.0
is_refrigeration, 0, nan
is_refrigeration, 1, nan
is_refrigeration, 2, nan
is_refrigeration, 3, nan
is_refrigeration, 4, nan
is_refrigeration, 5, nan
is_refrigeration, 6, nan
is_refrigeration, 7, nan
is_low_temp_process, 0, 1.0
is_low_temp_process, 1, 0.0
is_low_temp_process, 2, 0.0
is_low_temp_process, 3, 0.0
is_low_temp_process, 4, 0.0
is_low_temp_process, 5, 0.0
is_low_temp_process, 6, 0.0
is_low_temp_process, 7, 0.0
is_other, 0, 1.0
is_other, 1, 0.0
is_other, 2, 0.0
is_other, 3, 0.0
is_other, 4, 0.0
is_other, 5, 0.0
is_other, 6, 0.0
is_other, 7, 0.0
is_space_heating, 0, 0.04471956395580387
is_space_heating, 1, 0.3349415687122358
is_space_heating, 2, 0.5677677768800992
is_space_heating, 3, 0.052571090451861036
is_space_heating, 4, 0.0
is_space_heating, 5, 0.0
is_space_heating, 6, 0.0
is_space_heating, 7, 0.0
is_compressed_air, 0, nan
is_compressed_air, 1, nan
is_compressed_air, 2, nan
is_compressed_air, 3, nan
is_compressed_air, 4, nan
is_compressed_air, 5, nan
is_compressed_air, 6, nan
is_compressed_air, 7, nan
is_drying_separation, 0, 1.0
is_drying_separation, 1, 0.0
is_drying_separation, 2, 0.0
is_drying_separation, 3, 0.0
is_drying_separation, 4, 0.0
is_drying_separation, 5, 0.0
is_drying_separation, 6, 0.0
is_drying_separation, 7, 0.0
